Unicode,UTF-8,Description
U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F,🏄🏾‍♀️,woman surfing; medium-dark skin tone
U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F,🏄🏾‍♂️,man surfing; medium-dark skin tone
U+1F3C4 U+1F3FF,🏄🏿,person surfing; dark skin tone
U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F,🏄🏿‍♀️,woman surfing; dark skin tone
U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F,🏄🏿‍♂️,man surfing; dark skin tone
U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing
U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing
U+1F3C5,🏅,sports medal
U+1F3C6,🏆,trophy
U+1F3C7,🏇,horse racing
U+1F3C7 U+1F3FB,🏇🏻,horse racing; light skin tone
U+1F3C7 U+1F3FC,🏇🏼,horse racing; medium-light skin tone
U+1F3C7 U+1F3FD,🏇🏽,horse racing; medium skin tone
U+1F3C7 U+1F3FE,🏇🏾,horse racing; medium-dark skin tone
U+1F3C7 U+1F3FF,🏇🏿,horse racing; dark skin tone
U+1F3C8,🏈,american football
U+1F3C9,🏉,rugby football
U+1F3CA,🏊,person swimming
U+1F3CA U+1F3FB,🏊🏻,person swimming; light skin tone
U+1F3CA U+1F3FB U+200D U+2640 U+FE0F,🏊🏻‍♀️,woman swimming; light skin tone
U+1F3CA U+1F3FB U+200D U+2642 U+FE0F,🏊🏻‍♂️,man swimming; light skin tone
U+1F3CA U+1F3FC,🏊🏼,person swimming; medium-light skin tone
U+1F3CA U+1F3FC U+200D U+2640 U+FE0F,🏊🏼‍♀️,woman swimming; medium-light skin tone
U+1F3CA U+1F3FC U+200D U+2642 U+FE0F,🏊🏼‍♂️,man swimming; medium-light skin tone
U+1F3CA U+1F3FD,🏊🏽,person swimming; medium skin tone
U+1F3CA U+1F3FD U+200D U+2640 U+FE0F,🏊🏽‍♀️,woman swimming; medium skin tone
U+1F3CA U+1F3FD U+200D U+2642 U+FE0F,🏊🏽‍♂️,man swimming; medium skin tone
U+1F3CA U+1F3FE,🏊🏾,person swimming; medium-dark skin tone
U+1F3CA U+1F3FE U+200D U+2640 U+FE0F,🏊🏾‍♀️,woman swimming; medium-dark skin tone
U+1F3CA U+1F3FE U+200D U+2642 U+FE0F,🏊🏾‍♂️,man swimming; medium-dark skin tone
U+1F3CA U+1F3FF,🏊🏿,person swimming; dark skin tone
U+1F3CA U+1F3FF U+200D U+2640 U+FE0F,🏊🏿‍♀️,woman swimming; dark skin tone
U+1F3CA U+1F3FF U+200D U+2642 U+FE0F,🏊🏿‍♂️,man swimming; dark skin tone
U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming
U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming
U+1F3CB,🏋,person lifting weights
U+1F3CB U+1F3FB,🏋🏻,person lifting weights; light skin tone
U+1F3CB U+1F3FB U+200D U+2640 U+FE0F,🏋🏻‍♀️,woman lifting weights; light skin tone
U+1F3CB U+1F3FB U+200D U+2642 U+FE0F,🏋🏻‍♂️,man lifting weights; light skin tone
U+1F3CB U+1F3FC,🏋🏼,person lifting weights; medium-light skin tone
U+1F3CB U+1F3FC U+200D U+2640 U+FE0F,🏋🏼‍♀️,woman lifting weights; medium-light skin tone
U+1F3CB U+1F3FC U+200D U+2642 U+FE0F,🏋🏼‍♂️,man lifting weights; medium-light skin tone
U+1F3CB U+1F3FD,🏋🏽,person lifting weights; medium skin tone
U+1F3CB U+1F3FD U+200D U+2640 U+FE0F,🏋🏽‍♀️,woman lifting weights; medium skin tone
U+1F3CB U+1F3FD U+200D U+2642 U+FE0F,🏋🏽‍♂️,man lifting weights; medium skin tone
U+1F3CB U+1F3FE,🏋🏾,person lifting weights; medium-dark skin tone
U+1F3CB U+1F3FE U+200D U+2640 U+FE0F,🏋🏾‍♀️,woman lifting weights; medium-dark skin tone
U+1F3CB U+1F3FE U+200D U+2642 U+FE0F,🏋🏾‍♂️,man lifting weights; medium-dark skin tone
U+1F3CB U+1F3FF,🏋🏿,person lifting weights; dark skin tone
U+1F3CB U+1F3FF U+200D U+2640 U+FE0F,🏋🏿‍♀️,woman lifting weights; dark skin tone
U+1F3CB U+1F3FF U+200D U+2642 U+FE0F,🏋🏿‍♂️,man lifting weights; dark skin tone
U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,woman lifting weights
U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,man lifting weights
U+1F3CC,🏌,person golfing
U+1F3CC U+1F3FB,🏌🏻,person golfing; light skin tone
U+1F3CC U+1F3FB U+200D U+2640 U+FE0F,🏌🏻‍♀️,woman golfing; light skin tone
U+1F3CC U+1F3FB U+200D U+2642 U+FE0F,🏌🏻‍♂️,man golfing; light skin tone
U+1F3CC U+1F3FC,🏌🏼,person golfing; medium-light skin tone
U+1F3CC U+1F3FC U+200D U+2640 U+FE0F,🏌🏼‍♀️,woman golfing; medium-light skin tone
U+1F3CC U+1F3FC U+200D U+2642 U+FE0F,🏌🏼‍♂️,man golfing; medium-light skin tone
U+1F3CC U+1F3FD,🏌🏽,person golfing; medium skin tone
U+1F3CC U+1F3FD U+200D U+2640 U+FE0F,🏌🏽‍♀️,woman golfing; medium skin tone
U+1F3CC U+1F3FD U+200D U+2642 U+FE0F,🏌🏽‍♂️,man golfing; medium skin tone
U+1F3CC U+1F3FE,🏌🏾,person golfing; medium-dark skin tone
U+1F3CC U+1F3FE U+200D U+2640 U+FE0F,🏌🏾‍♀️,woman golfing; medium-dark skin tone
U+1F3CC U+1F3FE U+200D U+2642 U+FE0F,🏌🏾‍♂️,man golfing; medium-dark skin tone
U+1F3CC U+1F3FF,🏌🏿,person golfing; dark skin tone
U+1F3CC U+1F3FF U+200D U+2640 U+FE0F,🏌🏿‍♀️,woman golfing; dark skin tone
U+1F3CC U+1F3FF U+200D U+2642 U+FE0F,🏌🏿‍♂️,man golfing; dark skin tone
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing
U+1F3CD,🏍,motorcycle
U+1F3CE,🏎,racing car
U+1F3CF,🏏,cricket game
U+1F3D0,🏐,volleyball
U+1F3D1,🏑,field hockey
U+1F3D2,🏒,ice hockey
U+1F3D3,🏓,ping pong
U+1F3D4,🏔,snow-capped mountain
U+1F3D5,🏕,camping
U+1F3D6,🏖,beach with umbrella
U+1F3D7,🏗,building construction
U+1F3D8,🏘,houses
U+1F3D9,🏙,cityscape
U+1F3DA,🏚,derelict house
U+1F3DB,🏛,classical building
U+1F3DC,🏜,desert
U+1F3DD,🏝,desert island
U+1F3DE,🏞,national park
U+1F3DF,🏟,stadium
U+1F3E0,🏠,house
U+1F3E1,🏡,house with garden
U+1F3E2,🏢,office building
U+1F3E3,🏣,Japanese post office
U+1F3E4,🏤,post office
U+1F3E5,🏥,hospital
U+1F3E6,🏦,bank
U+1F3E7,🏧,ATM sign
U+1F3E8,🏨,hotel
U+1F3E9,🏩,love hotel
U+1F3EA,🏪,convenience store
U+1F3EB,🏫,school
U+1F3EC,🏬,department store
U+1F3ED,🏭,factory
U+1F3EE,🏮,red paper lantern
U+1F3EF,🏯,Japanese castle
U+1F3F0,🏰,castle
U+1F3F3,🏳,white flag
U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,rainbow flag
U+1F3F4,🏴,black flag
U+1F3F4 U+200D U+2620 U+FE0F,🏴‍☠️,pirate flag
U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F,🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag; England
U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F,🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag; Scotland
U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F,🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag; Wales
U+1F3F5,🏵,rosette
U+1F3F7,🏷,label
U+1F3F8,🏸,badminton
U+1F3F9,🏹,bow and arrow
U+1F3FA,🏺,amphora
U+1F3FB,🏻,light skin tone
U+1F3FC,🏼,medium-light skin tone
U+1F3FD,🏽,medium skin tone
U+1F3FE,🏾,medium-dark skin tone
U+1F3FF,🏿,dark skin tone
U+1F400,🐀,rat
U+1F401,🐁,mouse
U+1F402,🐂,ox
U+1F403,🐃,water buffalo
U+1F404,🐄,cow
U+1F405,🐅,tiger
U+1F406,🐆,leopard
U+1F407,🐇,rabbit
U+1F408,🐈,cat
U+1F409,🐉,dragon
U+1F40A,🐊,crocodile
U+1F40B,🐋,whale
U+1F40C,🐌,snail
U+1F40D,🐍,snake
U+1F40E,🐎,horse
U+1F40F,🐏,ram
U+1F410,🐐,goat
U+1F411,🐑,ewe
U+1F412,🐒,monkey
U+1F413,🐓,rooster
U+1F414,🐔,chicken
U+1F415,🐕,dog
U+1F416,🐖,pig
U+1F417,🐗,boar
U+1F418,🐘,elephant
U+1F419,🐙,octopus
U+1F41A,🐚,spiral shell
U+1F41B,🐛,bug
U+1F41C,🐜,ant
U+1F41D,🐝,honeybee
U+1F41E,🐞,lady beetle
U+1F41F,🐟,fish
U+1F420,🐠,tropical fish
U+1F421,🐡,blowfish
U+1F422,🐢,turtle
U+1F423,🐣,hatching chick
U+1F424,🐤,baby chick
U+1F425,🐥,front-facing baby chick
U+1F426,🐦,bird
U+1F427,🐧,penguin
U+1F428,🐨,koala
U+1F429,🐩,poodle
U+1F42A,🐪,camel
U+1F42B,🐫,two-hump camel
U+1F42C,🐬,dolphin
U+1F42D,🐭,mouse face
U+1F42E,🐮,cow face
U+1F42F,🐯,tiger face
U+1F430,🐰,rabbit face
U+1F431,🐱,cat face
U+1F432,🐲,dragon face
U+1F433,🐳,spouting whale
U+1F434,🐴,horse face
U+1F435,🐵,monkey face
U+1F436,🐶,dog face
U+1F437,🐷,pig face
U+1F438,🐸,frog face
U+1F439,🐹,hamster face
U+1F43A,🐺,wolf face
U+1F43B,🐻,bear face
U+1F43C,🐼,panda face
U+1F43D,🐽,pig nose
U+1F43E,🐾,paw prints
U+1F43F,🐿,chipmunk
U+1F440,👀,eyes
U+1F441,👁,eye
U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,eye in speech bubble
U+1F442,👂,ear
U+1F442 U+1F3FB,👂🏻,ear; light skin tone
U+1F442 U+1F3FC,👂🏼,ear; medium-light skin tone
U+1F442 U+1F3FD,👂🏽,ear; medium skin tone
U+1F442 U+1F3FE,👂🏾,ear; medium-dark skin tone
U+1F442 U+1F3FF,👂🏿,ear; dark skin tone
U+1F443,👃,nose
U+1F443 U+1F3FB,👃🏻,nose; light skin tone
U+1F443 U+1F3FC,👃🏼,nose; medium-light skin tone
U+1F443 U+1F3FD,👃🏽,nose; medium skin tone
U+1F443 U+1F3FE,👃🏾,nose; medium-dark skin tone
U+1F443 U+1F3FF,👃🏿,nose; dark skin tone
U+1F444,👄,mouth
U+1F445,👅,tongue
U+1F446,👆,backhand index pointing up
U+1F446 U+1F3FB,👆🏻,backhand index pointing up; light skin tone
U+1F446 U+1F3FC,👆🏼,backhand index pointing up; medium-light skin tone
U+1F446 U+1F3FD,👆🏽,backhand index pointing up; medium skin tone
U+1F446 U+1F3FE,👆🏾,backhand index pointing up; medium-dark skin tone
U+1F446 U+1F3FF,👆🏿,backhand index pointing up; dark skin tone
U+1F447,👇,backhand index pointing down
U+1F447 U+1F3FB,👇🏻,backhand index pointing down; light skin tone
U+1F447 U+1F3FC,👇🏼,backhand index pointing down; medium-light skin tone
U+1F447 U+1F3FD,👇🏽,backhand index pointing down; medium skin tone
U+1F447 U+1F3FE,👇🏾,backhand index pointing down; medium-dark skin tone
U+1F447 U+1F3FF,👇🏿,backhand index pointing down; dark skin tone
U+1F448,👈,backhand index pointing left
U+1F448 U+1F3FB,👈🏻,backhand index pointing left; light skin tone
U+1F448 U+1F3FC,👈🏼,backhand index pointing left; medium-light skin tone
U+1F448 U+1F3FD,👈🏽,backhand index pointing left; medium skin tone
U+1F448 U+1F3FE,👈🏾,backhand index pointing left; medium-dark skin tone
U+1F448 U+1F3FF,👈🏿,backhand index pointing left; dark skin tone
U+1F449,👉,backhand index pointing right
U+1F449 U+1F3FB,👉🏻,backhand index pointing right; light skin tone
U+1F449 U+1F3FC,👉🏼,backhand index pointing right; medium-light skin tone
U+1F449 U+1F3FD,👉🏽,backhand index pointing right; medium skin tone
U+1F449 U+1F3FE,👉🏾,backhand index pointing right; medium-dark skin tone
U+1F449 U+1F3FF,👉🏿,backhand index pointing right; dark skin tone
U+1F44A,👊,oncoming fist
U+1F44A U+1F3FB,👊🏻,oncoming fist; light skin tone
U+1F44A U+1F3FC,👊🏼,oncoming fist; medium-light skin tone
U+1F44A U+1F3FD,👊🏽,oncoming fist; medium skin tone
U+1F44A U+1F3FE,👊🏾,oncoming fist; medium-dark skin tone
U+1F44A U+1F3FF,👊🏿,oncoming fist; dark skin tone
U+1F44B,👋,waving hand
U+1F44B U+1F3FB,👋🏻,waving hand; light skin tone
U+1F44B U+1F3FC,👋🏼,waving hand; medium-light skin tone
U+1F44B U+1F3FD,👋🏽,waving hand; medium skin tone
U+1F44B U+1F3FE,👋🏾,waving hand; medium-dark skin tone
U+1F44B U+1F3FF,👋🏿,waving hand; dark skin tone
U+1F44C,👌,OK hand
U+1F44C U+1F3FB,👌🏻,OK hand; light skin tone
U+1F44C U+1F3FC,👌🏼,OK hand; medium-light skin tone
U+1F44C U+1F3FD,👌🏽,OK hand; medium skin tone
U+1F44C U+1F3FE,👌🏾,OK hand; medium-dark skin tone
U+1F44C U+1F3FF,👌🏿,OK hand; dark skin tone
U+1F44D,👍,thumbs up
U+1F44D U+1F3FB,👍🏻,thumbs up; light skin tone
U+1F44D U+1F3FC,👍🏼,thumbs up; medium-light skin tone
U+1F44D U+1F3FD,👍🏽,thumbs up; medium skin tone
U+1F44D U+1F3FE,👍🏾,thumbs up; medium-dark skin tone
U+1F44D U+1F3FF,👍🏿,thumbs up; dark skin tone
U+1F44E,👎,thumbs down
U+1F44E U+1F3FB,👎🏻,thumbs down; light skin tone
U+1F44E U+1F3FC,👎🏼,thumbs down; medium-light skin tone
U+1F44E U+1F3FD,👎🏽,thumbs down; medium skin tone
U+1F44E U+1F3FE,👎🏾,thumbs down; medium-dark skin tone
U+1F44E U+1F3FF,👎🏿,thumbs down; dark skin tone
U+1F44F,👏,clapping hands
U+1F44F U+1F3FB,👏🏻,clapping hands; light skin tone
U+1F44F U+1F3FC,👏🏼,clapping hands; medium-light skin tone
U+1F44F U+1F3FD,👏🏽,clapping hands; medium skin tone
U+1F44F U+1F3FE,👏🏾,clapping hands; medium-dark skin tone
U+1F44F U+1F3FF,👏🏿,clapping hands; dark skin tone
U+1F450,👐,open hands
U+1F450 U+1F3FB,👐🏻,open hands; light skin tone
U+1F450 U+1F3FC,👐🏼,open hands; medium-light skin tone
U+1F450 U+1F3FD,👐🏽,open hands; medium skin tone
U+1F450 U+1F3FE,👐🏾,open hands; medium-dark skin tone
U+1F450 U+1F3FF,👐🏿,open hands; dark skin tone
U+1F451,👑,crown
U+1F452,👒,woman's hat
U+1F453,👓,glasses
U+1F454,👔,necktie
U+1F455,👕,t-shirt
U+1F456,👖,jeans
U+1F457,👗,dress
U+1F458,👘,kimono
U+1F459,👙,bikini
U+1F45A,👚,woman's clothes
U+1F45B,👛,purse
U+1F45C,👜,handbag
U+1F45D,👝,clutch bag
U+1F45E,👞,man's shoe
U+1F45F,👟,running shoe
U+1F460,👠,high-heeled shoe
U+1F461,👡,woman's sandal
U+1F462,👢,woman's boot
U+1F463,👣,footprints
U+1F464,👤,bust in silhouette
U+1F465,👥,busts in silhouette
U+1F466,👦,boy
U+1F466 U+1F3FB,👦🏻,boy; light skin tone
U+1F466 U+1F3FC,👦🏼,boy; medium-light skin tone
U+1F466 U+1F3FD,👦🏽,boy; medium skin tone
U+1F466 U+1F3FE,👦🏾,boy; medium-dark skin tone
U+1F466 U+1F3FF,👦🏿,boy; dark skin tone
U+1F467,👧,girl
U+1F467 U+1F3FB,👧🏻,girl; light skin tone
U+1F467 U+1F3FC,👧🏼,girl; medium-light skin tone
U+1F467 U+1F3FD,👧🏽,girl; medium skin tone
U+1F467 U+1F3FE,👧🏾,girl; medium-dark skin tone
U+1F467 U+1F3FF,👧🏿,girl; dark skin tone
U+1F468,👨,man
U+1F468 U+1F3FB,👨🏻,man; light skin tone
U+1F468 U+1F3FB U+200D U+1F33E,👨🏻‍🌾,man farmer; light skin tone
U+1F468 U+1F3FB U+200D U+1F373,👨🏻‍🍳,man cook; light skin tone
U+1F468 U+1F3FB U+200D U+1F393,👨🏻‍🎓,man student; light skin tone
U+1F468 U+1F3FB U+200D U+1F3A4,👨🏻‍🎤,man singer; light skin tone
U+1F468 U+1F3FB U+200D U+1F3A8,👨🏻‍🎨,man artist; light skin tone
U+1F468 U+1F3FB U+200D U+1F3EB,👨🏻‍🏫,man teacher; light skin tone
U+1F468 U+1F3FB U+200D U+1F3ED,👨🏻‍🏭,man factory worker; light skin tone
U+1F468 U+1F3FB U+200D U+1F4BB,👨🏻‍💻,man technologist; light skin tone
U+1F468 U+1F3FB U+200D U+1F4BC,👨🏻‍💼,man office worker; light skin tone
U+1F468 U+1F3FB U+200D U+1F527,👨🏻‍🔧,man mechanic; light skin tone
U+1F468 U+1F3FB U+200D U+1F52C,👨🏻‍🔬,man scientist; light skin tone
U+1F468 U+1F3FB U+200D U+1F680,👨🏻‍🚀,man astronaut; light skin tone
U+1F468 U+1F3FB U+200D U+1F692,👨🏻‍🚒,man firefighter; light skin tone
U+1F468 U+1F3FB U+200D U+1F9B0,👨🏻‍🦰,"man; light skin tone, red hair"
U+1F468 U+1F3FB U+200D U+1F9B1,👨🏻‍🦱,"man; light skin tone, curly hair"
U+1F468 U+1F3FB U+200D U+1F9B2,👨🏻‍🦲,"man; light skin tone, bald"
U+1F468 U+1F3FB U+200D U+1F9B3,👨🏻‍🦳,"man; light skin tone, white hair"
U+1F468 U+1F3FB U+200D U+2695 U+FE0F,👨🏻‍⚕️,man health worker; light skin tone
U+1F468 U+1F3FB U+200D U+2696 U+FE0F,👨🏻‍⚖️,man judge; light skin tone
U+1F468 U+1F3FB U+200D U+2708 U+FE0F,👨🏻‍✈️,man pilot; light skin tone
U+1F468 U+1F3FC,👨🏼,man; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F33E,👨🏼‍🌾,man farmer; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F373,👨🏼‍🍳,man cook; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F393,👨🏼‍🎓,man student; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F3A4,👨🏼‍🎤,man singer; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F3A8,👨🏼‍🎨,man artist; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F3EB,👨🏼‍🏫,man teacher; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F3ED,👨🏼‍🏭,man factory worker; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F4BB,👨🏼‍💻,man technologist; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F4BC,👨🏼‍💼,man office worker; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F527,👨🏼‍🔧,man mechanic; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F52C,👨🏼‍🔬,man scientist; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F680,👨🏼‍🚀,man astronaut; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F692,👨🏼‍🚒,man firefighter; medium-light skin tone
U+1F468 U+1F3FC U+200D U+1F9B0,👨🏼‍🦰,"man; medium-light skin tone, red hair"
U+1F468 U+1F3FC U+200D U+1F9B1,👨🏼‍🦱,"man; medium-light skin tone, curly hair"
U+1F468 U+1F3FC U+200D U+1F9B2,👨🏼‍🦲,"man; medium-light skin tone, bald"
U+1F468 U+1F3FC U+200D U+1F9B3,👨🏼‍🦳,"man; medium-light skin tone, white hair"
U+1F468 U+1F3FC U+200D U+2695 U+FE0F,👨🏼‍⚕️,man health worker; medium-light skin tone
U+1F468 U+1F3FC U+200D U+2696 U+FE0F,👨🏼‍⚖️,man judge; medium-light skin tone
U+1F468 U+1F3FC U+200D U+2708 U+FE0F,👨🏼‍✈️,man pilot; medium-light skin tone
U+1F468 U+1F3FD,👨🏽,man; medium skin tone
U+1F468 U+1F3FD U+200D U+1F33E,👨🏽‍🌾,man farmer; medium skin tone
U+1F468 U+1F3FD U+200D U+1F373,👨🏽‍🍳,man cook; medium skin tone
U+1F468 U+1F3FD U+200D U+1F393,👨🏽‍🎓,man student; medium skin tone
U+1F468 U+1F3FD U+200D U+1F3A4,👨🏽‍🎤,man singer; medium skin tone
U+1F468 U+1F3FD U+200D U+1F3A8,👨🏽‍🎨,man artist; medium skin tone
U+1F468 U+1F3FD U+200D U+1F3EB,👨🏽‍🏫,man teacher; medium skin tone
U+1F468 U+1F3FD U+200D U+1F3ED,👨🏽‍🏭,man factory worker; medium skin tone
U+1F468 U+1F3FD U+200D U+1F4BB,👨🏽‍💻,man technologist; medium skin tone
U+1F468 U+1F3FD U+200D U+1F4BC,👨🏽‍💼,man office worker; medium skin tone
U+1F468 U+1F3FD U+200D U+1F527,👨🏽‍🔧,man mechanic; medium skin tone
U+1F468 U+1F3FD U+200D U+1F52C,👨🏽‍🔬,man scientist; medium skin tone
U+1F468 U+1F3FD U+200D U+1F680,👨🏽‍🚀,man astronaut; medium skin tone
U+1F468 U+1F3FD U+200D U+1F692,👨🏽‍🚒,man firefighter; medium skin tone
U+1F468 U+1F3FD U+200D U+1F9B0,👨🏽‍🦰,"man; medium skin tone, red hair"
U+1F468 U+1F3FD U+200D U+1F9B1,👨🏽‍🦱,"man; medium skin tone, curly hair"
U+1F468 U+1F3FD U+200D U+1F9B2,👨🏽‍🦲,"man; medium skin tone, bald"
U+1F468 U+1F3FD U+200D U+1F9B3,👨🏽‍🦳,"man; medium skin tone, white hair"
U+1F468 U+1F3FD U+200D U+2695 U+FE0F,👨🏽‍⚕️,man health worker; medium skin tone
U+1F468 U+1F3FD U+200D U+2696 U+FE0F,👨🏽‍⚖️,man judge; medium skin tone
U+1F468 U+1F3FD U+200D U+2708 U+FE0F,👨🏽‍✈️,man pilot; medium skin tone
U+1F468 U+1F3FE,👨🏾,man; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F33E,👨🏾‍🌾,man farmer; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F373,👨🏾‍🍳,man cook; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F393,👨🏾‍🎓,man student; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F3A4,👨🏾‍🎤,man singer; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F3A8,👨🏾‍🎨,man artist; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F3EB,👨🏾‍🏫,man teacher; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F3ED,👨🏾‍🏭,man factory worker; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F4BB,👨🏾‍💻,man technologist; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F4BC,👨🏾‍💼,man office worker; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F527,👨🏾‍🔧,man mechanic; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F52C,👨🏾‍🔬,man scientist; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F680,👨🏾‍🚀,man astronaut; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F692,👨🏾‍🚒,man firefighter; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+1F9B0,👨🏾‍🦰,"man; medium-dark skin tone, red hair"
U+1F468 U+1F3FE U+200D U+1F9B1,👨🏾‍🦱,"man; medium-dark skin tone, curly hair"
U+1F468 U+1F3FE U+200D U+1F9B2,👨🏾‍🦲,"man; medium-dark skin tone, bald"
U+1F468 U+1F3FE U+200D U+1F9B3,👨🏾‍🦳,"man; medium-dark skin tone, white hair"
U+1F468 U+1F3FE U+200D U+2695 U+FE0F,👨🏾‍⚕️,man health worker; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+2696 U+FE0F,👨🏾‍⚖️,man judge; medium-dark skin tone
U+1F468 U+1F3FE U+200D U+2708 U+FE0F,👨🏾‍✈️,man pilot; medium-dark skin tone
U+1F468 U+1F3FF,👨🏿,man; dark skin tone
U+1F468 U+1F3FF U+200D U+1F33E,👨🏿‍🌾,man farmer; dark skin tone
U+1F468 U+1F3FF U+200D U+1F373,👨🏿‍🍳,man cook; dark skin tone
U+1F468 U+1F3FF U+200D U+1F393,👨🏿‍🎓,man student; dark skin tone
U+1F468 U+1F3FF U+200D U+1F3A4,👨🏿‍🎤,man singer; dark skin tone
U+1F468 U+1F3FF U+200D U+1F3A8,👨🏿‍🎨,man artist; dark skin tone
U+1F468 U+1F3FF U+200D U+1F3EB,👨🏿‍🏫,man teacher; dark skin tone
U+1F468 U+1F3FF U+200D U+1F3ED,👨🏿‍🏭,man factory worker; dark skin tone
U+1F468 U+1F3FF U+200D U+1F4BB,👨🏿‍💻,man technologist; dark skin tone
U+1F468 U+1F3FF U+200D U+1F4BC,👨🏿‍💼,man office worker; dark skin tone
U+1F468 U+1F3FF U+200D U+1F527,👨🏿‍🔧,man mechanic; dark skin tone
U+1F468 U+1F3FF U+200D U+1F52C,👨🏿‍🔬,man scientist; dark skin tone
U+1F468 U+1F3FF U+200D U+1F680,👨🏿‍🚀,man astronaut; dark skin tone
U+1F468 U+1F3FF U+200D U+1F692,👨🏿‍🚒,man firefighter; dark skin tone
U+1F468 U+1F3FF U+200D U+1F9B0,👨🏿‍🦰,"man; dark skin tone, red hair"
U+1F468 U+1F3FF U+200D U+1F9B1,👨🏿‍🦱,"man; dark skin tone, curly hair"
U+1F468 U+1F3FF U+200D U+1F9B2,👨🏿‍🦲,"man; dark skin tone, bald"
U+1F468 U+1F3FF U+200D U+1F9B3,👨🏿‍🦳,"man; dark skin tone, white hair"
U+1F468 U+1F3FF U+200D U+2695 U+FE0F,👨🏿‍⚕️,man health worker; dark skin tone
U+1F468 U+1F3FF U+200D U+2696 U+FE0F,👨🏿‍⚖️,man judge; dark skin tone
U+1F468 U+1F3FF U+200D U+2708 U+FE0F,👨🏿‍✈️,man pilot; dark skin tone
U+1F468 U+200D U+1F33E,👨‍🌾,man farmer
U+1F468 U+200D U+1F373,👨‍🍳,man cook
U+1F468 U+200D U+1F393,👨‍🎓,man student
U+1F468 U+200D U+1F3A4,👨‍🎤,man singer
U+1F468 U+200D U+1F3A8,👨‍🎨,man artist
U+1F468 U+200D U+1F3EB,👨‍🏫,man teacher
U+1F468 U+200D U+1F3ED,👨‍🏭,man factory worker
U+1F468 U+200D U+1F466,👨‍👦,"family; man, boy"
U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,"family; man, boy, boy"
U+1F468 U+200D U+1F467,👨‍👧,"family; man, girl"
U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,"family; man, girl, boy"
U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,"family; man, girl, girl"
U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,"family; man, man, boy"
U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,"family; man, man, boy, boy"
